zip5,sumtotal
62305,11674.45
76180,11671.66
58237,11658.32
30107,11644.15
37174,11640.33
45419,11612.3
33176,11611.87
49453,11609.17
76087,11605.92
30143,11597.41
76179,11595.82
89144,11588.5
94563,11585.35
02738,11581.66
29657,11575
06117,11563.33
06902,11543.56
78737,11541.32
19958,11538.62
33067,11526.48
90069,11514.61
33626,11514.23
23188,11509.73
22043,11505.58
95747,11502.2
22901,11500.3
31605,11498.98
06090,11496
77095,11471.65
30189,11461.05
44622,11455.01
89138,11453.66
95404,11444.84
70808,11436.79
46937,11433.34
77375,11433.31
83340,11424.95
33767,11424.76
85226,11401.82
32114,11392.98
19053,11367.07
77584,11365.66
80904,11364.45
32159,11360.67
22309,11355.28
23229,11349.48
40245,11348.6
35226,11335.55
73703,11321.8
94306,11313.78
01845,11312.97
53570,11300
98111,11300
75240,11293.32
32751,11274.97
34711,11265.57
46814,11244.43
77433,11242.65
80634,11219.61
75244,11211.44
22310,11206.52
77469,11201.5
10104,11200
85207,11194.44
11530,11193.9
27612,11185.98
80919,11181.95
90066,11175.79
92056,11164.59
89011,11164.25
80027,11159.15
78666,11136.02
19010,11129.1
24018,11125.52
44065,11092.5
70503,11092.24
98105,11088.13
98074,11086.94
75234,11083.26
20902,11065.06
83646,11063.43
33914,11060.39
55331,11038.92
33950,11021.32
70123,11021.02
62711,11019.14
31602,11016.66
32608,11015.05
85298,10981.35
80020,10938.83
63367,10937.11
23510,10935
43054,10909.93
78521,10908.32
33435,10904.6
75023,10903.88
33009,10903.5
44022,10902.48
23233,10899.96
32955,10897.65
92882,10890.39
32080,10887.75
32966,10870.81
20147,10865.19
90720,10860.99
19073,10860.36
44256,10858.55
48098,10852.4
02090,10838.21
32937,10836.95
36303,10832.73
60606,10818.32
30318,10788.64
30025,10776.83
98001,10774.44
90027,10767.35
85016,10748.58
34449,10746.66
31024,10737.51
92701,10713.78
93619,10700.58
29681,10677.75
45458,10672.16
54956,10652.16
45069,10646.81
45429,10646.28
29715,10644.37
77316,10631.64
80524,10615.76
31808,10609.8
18017,10602.08
92373,10600.41
49009,10586.27
60618,10580.33
60048,10563.27
85375,10556.16
94404,10550.17
19446,10547.85
32303,10547.56
90212,10534.73
41075,10534.61
95037,10534.5
19063,10534.24
07670,10528.98
80209,10515.15
80403,10511.47
80026,10500.25
54971,10500
60016,10497.16
77008,10496.43
76063,10487.04
46240,10486.92
92831,10480.29
30120,10479.3
33328,10477.31
07940,10471.99
85710,10468.56
92071,10466.93
95682,10445.93
66213,10437
93003,10433.92
93637,10432.49
55127,10428.06
91214,10427.08
31763,10422.57
92620,10418.77
85749,10408.35
71201,10402.12
89448,10399.65
34238,10396.05
37221,10394.31
40356,10388.41
78669,10387.98
11209,10385.36
46220,10382.47
64804,10381.3
77389,10348.95
76066,10346.63
75035,10344.15
78752,10331
84092,10326.53
85704,10321.27
49506,10318.8
97045,10302.94
70518,10294.01
19382,10293.57
84004,10273.68
32804,10267.54
98221,10260.63
48346,10253.31
55902,10250.37
06836,10250
43617,10236.48
92260,10226.24
22033,10222.31
19002,10195.31
91364,10189.3
70112,10186
90064,10182.99
29412,10179.92
98121,10177.5
82009,10174.07
70506,10167.89
32308,10163.32
36106,10147.46
98012,10146.47
85142,10145.63
23462,10139.46
93291,10136.3
78505,10134.96
32765,10125.43
70360,10124.14
57049,10122.65
33141,10107.16
94127,10090.39
85205,10085.51
86001,10082.4
98177,10076.66
27615,10045.33
10710,10043.14
32819,10042.53
61525,10031.68
19312,10002.56
33558,9993.960000000001
48168,9979.12
75013,9970.75
08831,9969.52
89123,9963.53
75287,9961.84
20015,9957.98
60451,9951.41
76210,9943.4
74105,9939.73
17403,9929.77
95138,9907.91
95688,9906.93
85365,9906.58
06905,9895.57
91741,9893.38
83814,9889.29
95670,9885.95
29576,9872.76
76430,9869.97
93105,9861.82
85737,9853.4
22305,9842.99
95003,9828.39
99654,9799.95
93021,9795.21
98107,9783.63
89109,9781.66
81507,9779.09
70806,9777.65
89074,9777.6
92887,9776.39
95120,9771.93
34120,9767.93
89413,9766.66
48103,9764.45
60613,9740.31
92107,9738.46
07059,9734.79
53045,9724.6
29672,9722.3
91360,9712.5
93308,9706.92
32407,9703.23
78261,9700.29
49301,9687.43
17402,9685.28
94904,9676.66
97702,9670.76
78657,9669.97
35763,9661.02
94595,9654.26
65804,9644.44
58104,9633.78
90631,9632.9
49441,9632.28
91354,9626.82
91320,9615.61
70345,9603.89
91604,9600.96
96825,9600.78
77030,9584.29
32578,9583.91
33703,9581.16
76301,9574.710000000001
31405,9568.27
32169,9562.87
89519,9553.89
75036,9552.5
73099,9543.52
34243,9537.31
58102,9530.57
64064,9527.79
27106,9527.11
34748,9519.07
27408,9505.46
29451,9502.83
46375,9501.37
19348,9497.81
75075,9497.69
77070,9496.28
94133,9495.83
40222,9494.56
27330,9490.26
91356,9478.76
44145,9476.5
22306,9475.83
02210,9475
89166,9470.66
75098,9455.26
43551,9454.83
18940,9450.33
22042,9446.8
48094,9434.6
76116,9430.35
60173,9419.55
33462,9409.12
22554,9396.46
30360,9391
97035,9389.61
83854,9388.03
10018,9386.97
80921,9382.8
48130,9380.49
72202,9376.67
11746,9376.34
94568,9373.27
30236,9366.97
31404,9361.83
86303,9360.5
89146,9355.65
75028,9353.47
79765,9352.48
63132,9344.1
19035,9333.31
31793,9331.65
29615,9328.88
48116,9313.3
98908,9308.29
94061,9289.1
98042,9287.18
77059,9280.39
20878,9274.83
64029,9257.5
34736,9256.99
66220,9256.24
32507,9241.94
80525,9241.64
19102,9230
11201,9226.19
80237,9220.97
93901,9219.29
48324,9216.13
78133,9211.14
85048,9204.44
23452,9200.25
83712,9191.66
92867,9181.77
33042,9166.300000000001
92078,9163.14
33138,9156.38
94109,9149.11
34986,9146.26
04074,9136.67
10312,9136.56
55442,9131.1
78072,9125
18966,9124.49
76021,9121.77
97229,9120.55
93730,9119.52
97504,9117.87
33040,9113.83
59803,9113.29
85377,9111.43
32217,9105.11
98116,9103.65
31008,9096.49
31909,9092.49
92131,9079.67
07417,9072.39
93314,9072.28
20169,9060.28
11740,9055.33
32806,9054.56
35804,9051.67
40502,9051.56
32223,9047.15
27511,9045.82
89129,9030.78
98008,9029.14
21043,9020.77
60189,9016.97
84020,9010.45
78382,9001.58
93001,8997.12
20171,8985.67
94587,8981.96
21146,8980.89
48323,8980.26
73116,8976.63
33756,8961.99
22204,8960.91
75204,8952.16
33411,8951.07
75243,8949.14
91709,8940.28
94539,8927.91
37302,8924.16
53703,8919.98
10010,8917.88
35803,8917.61
07722,8901.66
48867,8882.33
97302,8878.48
80487,8878.34
86301,8860.59
78681,8846.28
75238,8845.19
29209,8844.31
90807,8843.48
59901,8841.93
95677,8837.58
60025,8837.04
45439,8831.67
60657,8827.81
60068,8808.7
77006,8808.42
27617,8803.98
32073,8796.11
32461,8794.83
28480,8789.33
76028,8786.67
80104,8786.31
18045,8773.95
32233,8771.04
33326,8770.93
19096,8764.98
30224,8761.64
45040,8757.99
75070,8754.26
97405,8754.13
94553,8753.99
92833,8751.79
91301,8751.16
30904,8750.67
91103,8738.92
94903,8734.63
32003,8730.73
75701,8724.08
30084,8723.24
78749,8719.33
32801,8718.74
98029,8718.33
78716,8716.65
90503,8713.62
33966,8707.2
33155,8698.47
79423,8697.77
80128,8694.61
33613,8694.24
14534,8694.12
39042,8689.86
67401,8685.17
92025,8683.59
80122,8677.36
70605,8674.46
92211,8674.09
02478,8672.41
20001,8665.94
89131,8664.29
34211,8662.4
79602,8651.98
83835,8649.3
30504,8647.47
60655,8644.13
84604,8633.44
98155,8631.14
37075,8622.13
28562,8618.82
62864,8615.93
91311,8602.19
65809,8598.82
21117,8594.34
80907,8589.39
80120,8583.59
98686,8582.98
19342,8580.33
70381,8573.1
39402,8567.54
62269,8564.16
75601,8560.05
92694,8558.6
79702,8556.64
80537,8553.12
32750,8548.48
37363,8538.75
92128,8536.88
78217,8535.16
29304,8530
93277,8524.8
33904,8517.08
55347,8514.45
60565,8512.82
07945,8499.68
02840,8488.98
48301,8488.3
48439,8486.5
22180,8483.15
94550,8479.6
19038,8477.5
66221,8476.81
79416,8475.3
30286,8474.99
89147,8467.88
33431,8466.62
78704,8459.91
20155,8459.37
24503,8458.96
11968,8455.04
85249,8452.19
28078,8449.91
76710,8447.81
83686,8444.21
60043,8443.33
89436,8427.42
64116,8419.15
27114,8416.85
53711,8412.49
98332,8409.59
22152,8408.13
70809,8400.88
72221,8400
80304,8383.3
48025,8381.41
48084,8379.79
92026,8378.51
44333,8374.99
95023,8372.93
94536,8371.02
75063,8367.69
07030,8364.99
28409,8355.55
92108,8346.06
31709,8345
22301,8343.19
76012,8339.06
80203,8333.31
27526,8330.54
85308,8326.62
95126,8325.98
93555,8325.26
28787,8322.98
